Date,videoid,Views,Avg_duration,Earnings,vidviews,likes,dislikes,comments,startdate,daysactive
9/3/12,19,19,2.38,0,24811,178,3,19,1/12/10,1166
9/3/12,E14,17,4.8,0.01,11267,61,2,16,12/27/10,817
9/3/12,20,11,1.62,0.04,29020,113,8,15,1/15/10,1163
9/3/12,16,18,3.26,0,23359,277,4,38,11/9/09,1230
9/3/12,13,2,3.09,0,12242,79,0,9,10/27/09,1243
9/3/12,11a,31,4,0.13,47383,259,13,57,10/13/09,1257
9/3/12,Sunk,5,1.81,0,5532,26,0,3,7/16/10,981
9/3/12,2,30,3.35,0.1,23780,231,6,44,9/11/09,1289
9/3/12,16a,11,2.41,0.01,11263,74,1,13,11/9/09,1230
9/3/12,E13,1,9.05,0,2758,24,0,1,12/27/10,817
9/3/12,21,6,1.9,0.09,18107,131,1,23,1/23/10,1155
9/3/12,45,4,1.15,0.01,5703,35,1,6,11/16/10,858
9/3/12,R1,19,3.8,0.1,6365,85,1,10,2/21/11,761
9/3/12,6b,10,3.6,0,11826,97,4,20,11/21/10,853
9/3/12,41,12,2.81,0,14982,166,1,26,3/12/10,1107
9/3/12,35a,9,3.07,0,16629,68,3,20,7/6/10,991
9/3/12,E11,9,4.33,0,4858,30,0,5,12/27/10,817
9/3/12,22,2,4.9,0.03,9094,63,0,11,1/26/10,1152
9/3/12,8,24,3.7,0.01,28254,164,4,25,10/2/09,1268
9/3/12,17a,22,4.17,0.03,43539,246,6,44,11/19/09,1220
9/3/12,6c,13,2.95,0,10664,89,1,15,12/12/10,832
9/3/12,44,17,4.08,0.03,21913,232,0,34,11/15/10,859
9/3/12,10,50,2.42,0.33,67029,490,10,63,10/13/09,1257
9/3/12,25,8,7.43,0.01,10851,48,1,13,2/13/10,1134
9/3/12,9b,31,3.92,0.08,38811,256,6,51,12/18/10,826
9/3/12,43,21,3.41,1.26,25256,292,4,33,11/7/10,867
9/3/12,14,7,1.17,0,5101,29,0,6,10/27/09,1243
9/3/12,15a,3,0.73,0,5521,24,0,5,11/3/09,1236
9/3/12,18,27,2.79,0.25,29105,129,5,27,1/7/10,1171
9/3/12,6a,26,2.37,0.13,30852,163,3,28,9/27/09,1273
9/3/12,32,6,3.42,0.07,13032,87,0,11,6/7/10,1020
9/3/12,24a,9,3.73,0.03,18345,100,2,31,2/8/10,1139
9/3/12,R3,10,3.2,0.03,2805,18,0,0,2/25/11,757
9/3/12,28,4,0.6,0.01,10086,78,0,10,3/23/10,1096
9/3/12,24b,5,2.1,0,8704,72,0,13,2/9/10,1138
9/3/12,4,11,3.59,0.01,11754,56,3,12,9/19/09,1281
9/3/12,33,10,1.94,0.01,13834,52,2,14,6/7/10,1020
9/3/12,E110,1,3.17,0,6011,28,2,10,1/10/11,803
9/3/12,9c,5,3.35,0.04,12330,181,3,17,12/29/10,815
9/3/12,R14,0,0,0,800,7,0,0,4/19/11,704
9/3/12,Reg2,11,1.99,0.01,19069,31,4,8,9/20/09,1280
9/3/12,R2,15,4.95,0,4602,38,0,2,2/23/11,759
9/3/12,9a,15,2.88,0,15061,129,0,25,10/6/09,1264
9/3/12,R12,2,3.14,0,3457,22,0,10,4/12/11,711
9/3/12,9,15,5.04,0.1,14758,144,1,24,10/6/09,1264
9/3/12,E17,4,1.46,0.04,8616,47,0,15,12/29/10,815
9/3/12,6,57,4.08,0.25,82659,353,5,54,9/27/09,1273
9/3/12,E21,6,2.8,0,5453,30,0,16,4/18/11,705
9/3/12,WhatIs,20,2.19,0.05,40995,98,3,11,12/20/10,824
9/3/12,23,6,1.72,0,23980,75,4,18,1/27/10,1151
9/3/12,R7,2,0.07,0,1609,10,0,1,3/7/11,747
9/3/12,26,26,2.83,0.01,24375,73,7,17,2/21/10,1126
9/3/12,29a,5,0.7,0,9318,37,0,6,3/27/10,1092
9/3/12,E19,4,3.83,0.04,3170,21,1,9,1/7/11,806
9/3/12,11,12,3.1,0.04,25380,151,2,45,10/13/09,1257
9/3/12,3,10,3.76,0.01,10818,110,0,18,9/12/09,1288
9/3/12,R10,7,3.63,0,4778,34,0,5,3/29/11,725
9/3/12,34,8,2.24,0.02,10359,35,1,9,6/7/10,1020
9/3/12,R9,3,0.67,0,3544,8,0,12,4/10/11,713
9/3/12,5,13,3.36,0.17,19875,180,0,25,9/25/09,1275
9/3/12,UsefulTrick,1,0,0,2452,21,2,4,7/16/10,981
9/3/12,Reg3,13,1.77,0,9166,26,0,6,9/20/09,1280
9/3/12,12,9,2.72,0,13243,44,3,20,10/21/09,1249
9/3/12,E12,2,4.87,0.01,2600,17,0,1,12/27/10,817
9/3/12,29,16,3.69,0,20514,223,0,38,3/26/10,1093
9/3/12,Reg1,22,2.85,0.01,23308,67,4,23,9/20/09,1280
9/3/12,40,26,2.36,0,17705,202,0,25,8/30/10,936
9/3/12,ANOVA,6,3.56,0,13723,58,1,18,9/22/09,1278
9/3/12,1,33,2.53,0.14,23785,228,1,28,8/31/09,1300
9/3/12,38,13,2.49,0,9626,63,2,10,8/15/10,951
9/3/12,27,18,3.77,0.06,24085,137,6,31,3/10/10,1109
9/3/12,R13,1,0.5,0,1739,9,0,1,4/14/11,709
9/3/12,37,13,4.7,0.06,21085,211,1,32,8/6/10,960
9/3/12,30,3,2.35,0.02,8820,75,1,10,3/27/10,1092
9/3/12,E18,3,0.65,0,6502,31,1,10,12/31/10,813
